

DIRECTORY,g_total,g_solved,g_sat,g_unsat,g_unknown,g_time,g_mem,g_err,time_cpu,memory
cvc4_master4,1474,1469,15,1454,4,1,0,0,11988.9,15731.7
cvc4_bags4,1474,1260,10,1250,185,28,1,0,53597.8,122084.5



DIRECTORY,cvc4_master4,cvc4_bags4
benchmark,status,result,exit_code,time_cpu,memory,status,result,exit_code,time_cpu,memory
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/delete_postcondition_of_delete_63_12.smt2,ok,20,0,0.29,22.6,ok,20,0,3.69,111.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/delete_postcondition_of_delete_66_8.smt2,ok,20,0,0.49,24.2,ok,20,0,0.09,21.6
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/delete_postcondition_of_delete_69_1.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/difference_check_free_45_8.smt2,ok,20,0,0.01,16.2,ok,20,0,0.09,22.3
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/difference_check_heap_access_38_21.smt2,ok,20,0,0.01,2.1,ok,20,0,0.08,21.3
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/difference_check_heap_access_38_8.smt2,ok,20,0,0.27,23.0,ok,20,0,43.39,211.5
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/difference_check_heap_access_41_15.smt2,ok,20,0,0.01,8.0,ok,20,0,0.1,21.6
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/difference_check_heap_access_44_8.smt2,ok,20,0,0.02,16.2,ok,20,0,0.09,22.3
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/difference_check_heap_access_46_15.smt2,ok,20,0,0.0,0.0,ok,20,0,0.1,23.6
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/difference_postcondition_of_difference_34_8.smt2,ok,20,0,0.0,0.0,ok,20,0,0.09,19.3
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/difference_postcondition_of_difference_36_8.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/difference_postcondition_of_difference_39_8.smt2,ok,20,0,105.56,113.8,ok,20,0,643.92,1025.2
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/difference_postcondition_of_difference_41_8.smt2,ok,20,0,53.78,80.8,ok,20,0,682.19,1094.8
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/difference_postcondition_of_difference_46_8.smt2,ok,20,0,94.64,108.9,ok,20,0,790.76,2018.3
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/difference_postcondition_of_difference_47_5.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/difference_precondition_of_difference_38_21.smt2,ok,20,0,0.09,18.5,ok,20,0,1.59,62.1
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/difference_precondition_of_difference_41_15.smt2,ok,20,0,0.09,0.0,ok,20,0,1.19,53.4
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/difference_precondition_of_difference_46_15.smt2,ok,20,0,0.3,20.3,ok,20,0,1.35,62.8
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dispose_invariant_13_2.smt2,ok,20,0,0.02,2.4,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dispose_loop_check_free_19_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dispose_loop_check_heap_access_18_4.smt2,ok,20,0,0.0,0.0,ok,30,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dispose_loop_invariant_20_3.smt2,ok,20,0,0.0,3.3,ok,20,0,0.1,21.3
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dispose_postcondition_of_dispose_20_3.smt2,ok,20,0,0.01,14.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_concat_check_heap_access_23_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_concat_check_heap_access_24_4.smt2,ok,20,0,0.03,17.1,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_concat_postcondition_of_dl_concat_19_4.smt2,ok,20,0,0.01,12.4,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_concat_postcondition_of_dl_concat_21_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_concat_postcondition_of_dl_concat_25_4.smt2,ok,20,0,0.16,20.0,ok,20,0,0.0,3.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_concat_postcondition_of_dl_concat_26_3.smt2,ok,20,0,0.01,2.5,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_copy_invariant_19_2.smt2,ok,20,0,0.0,2.4,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_copy_loop_check_heap_access_28_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_copy_loop_check_heap_access_29_4.smt2,ok,20,0,0.01,13.8,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/dl_copy_loop_check_heap_access_31_6.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
