

DIRECTORY,g_total,g_solved,g_sat,g_unsat,g_unknown,g_time,g_mem,g_err,time_cpu,memory
cvc4_master,1982,1762,1,1761,8,2,0,210,13492.7,18026.2
cvc4_bags,1982,1559,0,1559,188,24,1,210,46842.8,114697.8



DIRECTORY,cvc4_master,cvc4_bags
benchmark,status,result,exit_code,time_cpu,memory,status,result,exit_code,time_cpu,memory
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/delete_loop_check_heap_access_51_8.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/delete_loop_invariant_52_5.smt2,ok,20,0,4.69,32.2,ok,20,0,4.89,32.7
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/delete_postcondition_of_delete_61_12.smt2,ok,20,0,5.1,35.8,ok,20,0,2.69,32.4
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/delete_postcondition_of_delete_63_12.smt2,ok,20,0,0.29,23.2,ok,20,0,0.29,23.4
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/delete_postcondition_of_delete_66_8.smt2,ok,20,0,0.39,23.7,ok,20,0,0.39,23.7
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/delete_postcondition_of_delete_69_1.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/difference_check_free_45_8.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/difference_check_heap_access_38_21.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/difference_check_heap_access_38_8.smt2,ok,20,0,0.1,20.3,ok,20,0,0.09,20.6
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/difference_check_heap_access_41_15.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/difference_check_heap_access_44_8.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/difference_check_heap_access_46_15.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/difference_postcondition_of_difference_34_8.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/difference_postcondition_of_difference_36_8.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
